Criação da handle do arquivo XSV bem sucedida.
Definição do separador na handle do arquivo XSV bem sucedida.
Definição do arquivo de input da handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Adição de coluna na handle do arquivo XSV bem sucedida.
Transoformação da lista de colunas em conjunto de colunas bem sucedida.
DENOM_SOCIAL;DENOM_SOCIAL;SIT;CD_CVM;SETOR_ATIV
CLINICA MÉDICA VITA S.A;CLINICA MÉDICA VITA S.A;CANCELADA;18449;SERVIÇOS MÉDICOS
CLUBEPAR SA;CLUBEPAR SA;CANCELADA;14982;EMP. ADM. PARTICIPAÇÕES
CMA PARTICIPAÇÕES SA;CMA PARTICIPAÇÕES SA;CANCELADA;13323;EMP. ADM. PARTICIPAÇÕES
CMP CIA DE MINERACAO E PART;CMP CIA DE MINERACAO E PART;CANCELADA;12890;EMP. ADM. PARTICIPAÇÕES
CNV CIA NACIONAL DO VESTUARIO;CNV CIA NACIONAL DO VESTUARIO;CANCELADA;12882;TEXTIL E VESTUÁRIO
COARI PARTICIPAÇÕES SA;COARI PARTICIPAÇÕES SA;CANCELADA;19089;TELECOMUNICAÇÕES
COBRASFER SA;COBRASFER SA;CANCELADA;4430;COMÉRCIO (ATACADO E VAREJO)
COBRASMA SA;COBRASMA SA;ATIVO;4448;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
COBUCCIO SECURITIZADORA DE CRÉDITOS S.A.;COBUCCIO SECURITIZADORA DE CRÉDITOS S.A.;ATIVO;24724;SECURITIZAÇÃO DE RECEBÍVEIS
CODUNAS SA;CODUNAS SA;CANCELADA;15237;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
COEMP COMERCIO E EMPREEND SA;COEMP COMERCIO E EMPREEND SA;CANCELADA;4464;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
COEST CONSTRUTORA SA;COEST CONSTRUTORA SA;CANCELADA;4472;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
COFAP CIA FABRICADORA PECAS;COFAP CIA FABRICADORA PECAS;CANCELADA;4480;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
COINVEST CIA. DE INV. INTERLAGOS;COINVEST CIA. DE INV. INTERLAGOS;CANCELADA;7552;METALURGIA E SIDERURGIA
COIRG CIA INDUSTRIAL RIOGRANDENSE NORTE;COIRG CIA INDUSTRIAL RIOGRANDENSE NORTE;CANCELADA;4499;ALIMENTOS
COLDEX FRIGOR SA;COLDEX FRIGOR SA;CANCELADA;12459;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
COLMEIA SA IND.PAULISTA RAD.;COLMEIA SA IND.PAULISTA RAD.;CANCELADA;4502;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
COLUMBIA PARTICIPACOES SA;COLUMBIA PARTICIPACOES SA;CANCELADA;13510;EMP. ADM. PARTICIPAÇÕES
COMERCIAL IMPORTADORA SA;COMERCIAL IMPORTADORA SA;CANCELADA;4375;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO;COMERCIAL QUINTELLA COM EXP SA EM LIQUIDAÇÃO;CANCELADA;15652;SERVIçOS TRANSPORTE E LOGíSTICA
COMERCIO E INDUSTRIA INDUCO SA;COMERCIO E INDUSTRIA INDUCO SA;CANCELADA;4545;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
COMIND BANCO INVESTIMENTO SA;COMIND BANCO INVESTIMENTO SA;CANCELADA;4570;BANCOS
COMIND LEASING SA ARR MERC;COMIND LEASING SA ARR MERC;CANCELADA;12173;ARRENDAMENTO MERCANTIL
COMIND PARTICIPACOES SA;COMIND PARTICIPACOES SA;CANCELADA;1058;EMP. ADM. PART. - INTERMEDIAçãO FINANCEIRA
COMIND SA;COMIND SA;CANCELADA;4553;EMP. ADM. PARTICIPAÇÕES
COMIND SA SERV TEC PROC DADOS;COMIND SA SERV TEC PROC DADOS;CANCELADA;4561;COMUNICAÇÃO E INFORMÁTICA
COMMANDER SA;COMMANDER SA;CANCELADA;4634;METALURGIA E SIDERURGIA
COMPANHIA  AMAZÔNIA TÊXTIL DE  ANIAGEM;COMPANHIA  AMAZÔNIA TÊXTIL DE  ANIAGEM;CANCELADA;2720;TEXTIL E VESTUÁRIO
COMPANHIA  ELDORADO DE HOTEIS;COMPANHIA  ELDORADO DE HOTEIS;CANCELADA;2763;HOSPEDAGEM E TURISMO
COMPANHIA  MELHORAMENTOS DE SÃO PAULO;COMPANHIA  MELHORAMENTOS DE SÃO PAULO;ATIVO;3654;PAPEL E CELULOSE
COMPANHIA  SIDERÚRGICA  DE  TUBARÃO;COMPANHIA  SIDERÚRGICA  DE  TUBARÃO;CANCELADA;14117;METALURGIA E SIDERURGIA
COMPANHIA AURIFERA BRASILEIRA SA;COMPANHIA AURIFERA BRASILEIRA SA;CANCELADA;22870;EMP. ADM. PART. - EXTRAçãO MINERAL
COMPANHIA BRASILEIRA DE BEBIDAS ( Atual demominação  social da Cia Antarctica Paulista IBBC);COMPANHIA BRASILEIRA DE BEBIDAS ( Atual demominação  social da Cia Antarctica Paulista IBBC);CANCELADA;2755;BEBIDAS E FUMO
COMPANHIA BRASILEIRA DE CARTUCHOS - CBC;COMPANHIA BRASILEIRA DE CARTUCHOS - CBC;CANCELADA;13315;METALURGIA E SIDERURGIA
COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO;COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO;ATIVO;14826;COMÉRCIO (ATACADO E VAREJO)
COMPANHIA CARIOCA DE SECURITIZAÇÃO;COMPANHIA CARIOCA DE SECURITIZAÇÃO;ATIVO;23949;SECURITIZAÇÃO DE RECEBÍVEIS
COMPANHIA CELG DE PARTICIPAÇÕES;COMPANHIA CELG DE PARTICIPAÇÕES;ATIVO;21393;EMP. ADM. PART. - ENERGIA ELéTRICA
COMPANHIA CIMENTO PORTLAND ITAU;COMPANHIA CIMENTO PORTLAND ITAU;CANCELADA;2933;EXTRAÇÃO MINERAL
COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ;COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ;ATIVO;18546;SANEAMENTO, SERV. ÁGUA E GáS
COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV;COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV;CANCELADA;18112;BEBIDAS E FUMO
COMPANHIA DE CRÉDITO FINANCIAMENTO E INVESTIMENTO RCI BRASIL;COMPANHIA DE CRÉDITO FINANCIAMENTO E INVESTIMENTO RCI BRASIL;CANCELADA;22993;BANCOS
COMPANHIA DE EMBALAGENS METÁLICAS - MMSA;COMPANHIA DE EMBALAGENS METÁLICAS - MMSA;CANCELADA;14125;METALURGIA E SIDERURGIA
COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA;COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA;ATIVO;3077;TEXTIL E VESTUÁRIO
COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS;COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS;ATIVO;15636;EMP. ADM. PART. - SANEAMENTO, SERV. ÁGUA E GáS
COMPANHIA DE INVESTIMENTOS PARTICIPAR;COMPANHIA DE INVESTIMENTOS PARTICIPAR;CANCELADA;15415;EMP. ADM. PARTICIPAÇÕES
COMPANHIA DE LOCAÇÃO DAS AMERICAS;COMPANHIA DE LOCAÇÃO DAS AMERICAS;ATIVO;22691;SERVIçOS TRANSPORTE E LOGíSTICA
COMPANHIA DE PARTICIPAÇÕES ALPHA;COMPANHIA DE PARTICIPAÇÕES ALPHA;CANCELADA;16454;EMP. ADM. PART. - SEM SETOR PRINCIPAL
COMPANHIA DE SANEAMENTO DE MINAS GERAIS;COMPANHIA DE SANEAMENTO DE MINAS GERAIS;ATIVO;19445;SANEAMENTO, SERV. ÁGUA E GáS
COMPANHIA DE SANEAMENTO DO TOCANTINS - SANEATINS;COMPANHIA DE SANEAMENTO DO TOCANTINS - SANEATINS;ATIVO;23809;SANEAMENTO, SERV. ÁGUA E GáS
COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;ATIVO;14451;ENERGIA ELÉTRICA
COMPANHIA ENERGÉTICA JAGUARA;COMPANHIA ENERGÉTICA JAGUARA;ATIVO;24422;ENERGIA ELÉTRICA
COMPANHIA ENERGÉTICA MIRANDA;COMPANHIA ENERGÉTICA MIRANDA;ATIVO;24430;ENERGIA ELÉTRICA
COMPANHIA ENERGÉTICA SINOP S.A.;COMPANHIA ENERGÉTICA SINOP S.A.;ATIVO;24155;ENERGIA ELÉTRICA
COMPANHIA FERRÍFERA BRASILEIRA S.A.;COMPANHIA FERRÍFERA BRASILEIRA S.A.;CANCELADA;23124;EMP. ADM. PART. - EXTRAçãO MINERAL
COMPANHIA FLUMINENSE DE REFRIGERANTES;COMPANHIA FLUMINENSE DE REFRIGERANTES;CANCELADA;3263;BEBIDAS E FUMO
COMPANHIA INDUSTRIAL CATAGUASES;COMPANHIA INDUSTRIAL CATAGUASES;ATIVO;3395;TEXTIL E VESTUÁRIO
COMPANHIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;COMPANHIA MINEIRA DE AÇUCAR E ALCOOL PARTICIPAÇÕES;ATIVO;21709;EMP. ADM. PART. - AGRICULTURA (AçúCAR, ÁLCOOL E CANA)
COMPANHIA PARAIBUNA DE METAIS;COMPANHIA PARAIBUNA DE METAIS;CANCELADA;12130;METALURGIA E SIDERURGIA
COMPANHIA PARANAENSE DE ENERGIA;COMPANHIA PARANAENSE DE ENERGIA;ATIVO;14311;ENERGIA ELÉTRICA
COMPANHIA PARANAENSE DE SECURITIZAÇÃO - PRSEC;COMPANHIA PARANAENSE DE SECURITIZAÇÃO - PRSEC;CANCELADA;23914;SECURITIZAÇÃO DE RECEBÍVEIS
COMPANHIA PAULISTA DE FORCA LUZ - CPFL;COMPANHIA PAULISTA DE FORCA LUZ - CPFL;ATIVO;3824;ENERGIA ELÉTRICA
COMPANHIA PAULISTA DE SECURITIZAÇÃO;COMPANHIA PAULISTA DE SECURITIZAÇÃO;ATIVO;22080;SECURITIZAÇÃO DE RECEBÍVEIS
COMPANHIA PAULISTA FERRO LIGAS;COMPANHIA PAULISTA FERRO LIGAS;CANCELADA;3808;METALURGIA E SIDERURGIA
COMPANHIA PROVIDENCIA IND E COMERCIO;COMPANHIA PROVIDENCIA IND E COMERCIO;CANCELADA;20974;PETROQUíMICOS E BORRACHA
COMPANHIA SEC. DE CRÉDITOS FIN. CARTÕES CONSIGNADOS BMG;COMPANHIA SEC. DE CRÉDITOS FIN. CARTÕES CONSIGNADOS BMG;ATIVO;24147;SECURITIZAÇÃO DE RECEBÍVEIS
COMPANHIA SECURITIZADORA DE CRÉD. FINANCEIROS VERT-FINTECH;COMPANHIA SECURITIZADORA DE CRÉD. FINANCEIROS VERT-FINTECH;ATIVO;24511;SECURITIZAÇÃO DE RECEBÍVEIS
COMPANHIA SECURITIZADORA DE CRÉD. FINANCEIROS VERT-NEXOOS;COMPANHIA SECURITIZADORA DE CRÉD. FINANCEIROS VERT-NEXOOS;ATIVO;24520;SECURITIZAÇÃO DE RECEBÍVEIS
COMPANHIA SIDERÚRGICA PAULISTA - COSIPA;COMPANHIA SIDERÚRGICA PAULISTA - COSIPA;CANCELADA;18317;METALURGIA E SIDERURGIA
COMPANHIA SUZANO DE PAPEL E CELULOSE;COMPANHIA SUZANO DE PAPEL E CELULOSE;CANCELADA;4065;PAPEL E CELULOSE
COMPANHIIA HABITASUL DE PARTICIPAÇÕES;COMPANHIIA HABITASUL DE PARTICIPAÇÕES;ATIVO;3298;EMP. ADM. PART. - CRéDITO IMOBILIáRIO
COMPAQ FINANCIAL SERVICES ARREND MERC SA;COMPAQ FINANCIAL SERVICES ARREND MERC SA;CANCELADA;14990;ARRENDAMENTO MERCANTIL
COMPAR CIA PAR REFRIGERANTES;COMPAR CIA PAR REFRIGERANTES;CANCELADA;4588;BEBIDAS E FUMO
COMPESCA CIA BRAS DE PESCA - EM LIQUIDAÇÃO;COMPESCA CIA BRAS DE PESCA - EM LIQUIDAÇÃO;ATIVO;4596;PESCA
COMPUGRAF TECNOL. E SISTEMA SA;COMPUGRAF TECNOL. E SISTEMA SA;CANCELADA;14230;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
CONC. DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.;CONC. DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.;ATIVO;23515;SERVIçOS TRANSPORTE E LOGíSTICA
CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.;CONCEBRA - CONCESSIONARIA DAS RODOVIAS CENTRAIS DO BRASIL S.A.;ATIVO;23868;SERVIçOS TRANSPORTE E LOGíSTICA
CONCES DA ROD OSÓRIO-POA S/A - CONCEPA;CONCES DA ROD OSÓRIO-POA S/A - CONCEPA;CANCELADA;17590;SERVIçOS TRANSPORTE E LOGíSTICA
CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.;CANCELADA;16810;SERVIçOS TRANSPORTE E LOGíSTICA
CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO SA;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO SA;ATIVO;22144;SERVIçOS TRANSPORTE E LOGíSTICA
CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART;CONCESSIONARIA AUTO RAPOSO TAVARES SA-CART;ATIVO;22268;SERVIçOS TRANSPORTE E LOGíSTICA
CONCESSIONÁRIA BR-040 S.A.;CONCESSIONÁRIA BR-040 S.A.;ATIVO;23892;SERVIçOS TRANSPORTE E LOGíSTICA
CONCESSIONÁRIA DA RODOVIA MG-050 S.A.;CONCESSIONÁRIA DA RODOVIA MG-050 S.A.;ATIVO;24104;SERVIçOS TRANSPORTE E LOGíSTICA
CONCESSIONÁRIA DAS RODOVIAS AYRTON SENNA E CARVALHO PINTO S/A-ECOPISTAS;CONCESSIONÁRIA DAS RODOVIAS AYRTON SENNA E CARVALHO PINTO S/A-ECOPISTAS;ATIVO;22411;SERVIçOS TRANSPORTE E LOGíSTICA
CONCESSIONÁRIA DE RODOVIA SUL-MATOGROSSENSE S.A.;CONCESSIONÁRIA DE RODOVIA SUL-MATOGROSSENSE S.A.;ATIVO;23833;EMP. ADM. PART. - SERVIçOS TRANSPORTE E LOGíSTICA
CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;ATIVO;21849;SERVIçOS TRANSPORTE E LOGíSTICA
CONCESSIONARIA DE RODOVIAS DO OESTE DE SP-VIA OESTE SA;CONCESSIONARIA DE RODOVIAS DO OESTE DE SP-VIA OESTE SA;ATIVO;21024;SERVIçOS TRANSPORTE E LOGíSTICA
CONCESSIONÁRIA DE RODOVIAS MINAS GERAIS GOIÁS S.A.;CONCESSIONÁRIA DE RODOVIAS MINAS GERAIS GOIÁS S.A.;ATIVO;23884;SERVIçOS TRANSPORTE E LOGíSTICA
CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S.A.;CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S.A.;ATIVO;20192;SERVIçOS TRANSPORTE E LOGíSTICA
CONCESSIONARIA ECOVIAS DOS IMIGRANTES SA;CONCESSIONARIA ECOVIAS DOS IMIGRANTES SA;ATIVO;20397;SERVIçOS TRANSPORTE E LOGíSTICA
CONCESSIONARIA PONTE RIO-NITERÓI S.A. - ECOPONTE;CONCESSIONARIA PONTE RIO-NITERÓI S.A. - ECOPONTE;ATIVO;24139;SERVIçOS TRANSPORTE E LOGíSTICA
CONCESSIONARIA RIO-TERESOPOLIS SA;CONCESSIONARIA RIO-TERESOPOLIS SA;ATIVO;19208;SERVIçOS TRANSPORTE E LOGíSTICA
CONCESSIONÁRIA RODOVIA PRESIDENTE DUTRA S/A;CONCESSIONÁRIA RODOVIA PRESIDENTE DUTRA S/A;ATIVO;19577;EMP. ADM. PART. - SERVIçOS TRANSPORTE E LOGíSTICA
CONCESSIONARIA RODOVIAS TIETE SA;CONCESSIONARIA RODOVIAS TIETE SA;ATIVO;22721;SERVIçOS TRANSPORTE E LOGíSTICA
CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A;CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A;ATIVO;22071;SERVIçOS TRANSPORTE E LOGíSTICA
CONCESSIONÁRIA ROTA DO OESTE S.A.;CONCESSIONÁRIA ROTA DO OESTE S.A.;ATIVO;23922;SERVIçOS TRANSPORTE E LOGíSTICA
CONCIC ENGENHARIA SA;CONCIC ENGENHARIA SA;CANCELADA;4600;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CONCRETEX SA;CONCRETEX SA;CANCELADA;4618;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CONDOMINIUM VILLAGE SA;CONDOMINIUM VILLAGE SA;CANCELADA;15660;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CONEPAR PETROQUIMICA SA;CONEPAR PETROQUIMICA SA;CANCELADA;19054;EMP. ADM. PARTICIPAÇÕES
CONFAB INDUSTRIAL SA;CONFAB INDUSTRIAL SA;CANCELADA;4650;METALURGIA E SIDERURGIA
CONFORJA SA CONEXOES DE ACO;CONFORJA SA CONEXOES DE ACO;CANCELADA;4677;METALURGIA E SIDERURGIA
CONOVER TRADING SA;CONOVER TRADING SA;CANCELADA;15563;COMÉRCIO EXTERIOR
CONPART IND ELETRONICA S/A;CONPART IND ELETRONICA S/A;CANCELADA;13544;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
CONPEL CIA. NORDESTINA DE PAPEL - EM RECUPERAÇÃO JUDICIAL;CONPEL CIA. NORDESTINA DE PAPEL - EM RECUPERAÇÃO JUDICIAL;ATIVO;4685;EMBALAGENS
CONSERVAS ODERICH SA;CONSERVAS ODERICH SA;ATIVO;4693;ALIMENTOS
CONSIGNADOS I COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS;CONSIGNADOS I COMPANHIA SECURITIZADORA DE CRÉDITOS FINANCEIROS;ATIVO;24899;SECURITIZAÇÃO DE RECEBÍVEIS
CONSORCIO ALFA DE ADMINISTRAÇÃO SA;CONSORCIO ALFA DE ADMINISTRAÇÃO SA;ATIVO;4707;EMP. ADM. PART. - INTERMEDIAçãO FINANCEIRA
CONSPREVI SA;CONSPREVI SA;CANCELADA;15814;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CONST ADOLPHO LINDENBERG SA;CONST ADOLPHO LINDENBERG SA;ATIVO;4723;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CONST ANDRADE GUTIERREZ SA;CONST ANDRADE GUTIERREZ SA;CANCELADA;4740;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CONST CENTENARIO SA EMP E PART;CONST CENTENARIO SA EMP E PART;CANCELADA;13277;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CONST CIVIL INDL SA;CONST CIVIL INDL SA;CANCELADA;4766;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CONST LIX DA CUNHA SA;CONST LIX DA CUNHA SA;CANCELADA;4774;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CONST PRESIDENTE SA;CONST PRESIDENTE SA;CANCELADA;11959;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL;CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL;ATIVO;13030;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CONSTRUCOES COM CAM CORREA SA;CONSTRUCOES COM CAM CORREA SA;CANCELADA;4715;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CONSTRUTORA BETER SA;CONSTRUTORA BETER SA;CANCELADA;4758;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CONSTRUTORA NORBERTO ODEBRECHT S.A.;CONSTRUTORA NORBERTO ODEBRECHT S.A.;CANCELADA;4790;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CONSTRUTORA TENDA S/A;CONSTRUTORA TENDA S/A;ATIVO;21148;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CONSUL SA;CONSUL SA;CANCELADA;4804;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
CONSULT SECURITIZADORA S/A;CONSULT SECURITIZADORA S/A;CANCELADA;23256;SECURITIZAÇÃO DE RECEBÍVEIS
CONTAGEM SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;CONTAGEM SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.;ATIVO;24651;SECURITIZAÇÃO DE RECEBÍVEIS
CONTEX CONFECÇÕES TEXTEIS SA;CONTEX CONFECÇÕES TEXTEIS SA;CANCELADA;13820;TEXTIL E VESTUÁRIO
CONVAP ENG CONSTRUCOES SA;CONVAP ENG CONSTRUCOES SA;CANCELADA;4731;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
COPACABANA PRINCE PARTICIPAÇÕES S.A.;COPACABANA PRINCE PARTICIPAÇÕES S.A.;CANCELADA;21598;EMP. ADM. PART. - SEM SETOR PRINCIPAL
COPALA INDUSTRIAS REUNIDAS SA;COPALA INDUSTRIAS REUNIDAS SA;CANCELADA;4812;METALURGIA E SIDERURGIA
COPEL GERAÇÃO E TRANSMISSÃO S/A;COPEL GERAÇÃO E TRANSMISSÃO S/A;ATIVO;24740;ENERGIA ELÉTRICA
COPENE PARTICIPAÇÕES S/A;COPENE PARTICIPAÇÕES S/A;CANCELADA;4642;EMP. ADM. PARTICIPAÇÕES
COPERSUCAR SA;COPERSUCAR SA;CANCELADA;22535;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
COPESUL - COMPANHIA PETROQUÍMICA DO SUL;COPESUL - COMPANHIA PETROQUÍMICA DO SUL;CANCELADA;14044;PETROQUíMICOS E BORRACHA
COPISEC SECURITIZADORA DE CRÉDITOS FINANCEIROS SA;COPISEC SECURITIZADORA DE CRÉDITOS FINANCEIROS SA;ATIVO;24570;SECURITIZAÇÃO DE RECEBÍVEIS
CORBETTA SA IND COM;CORBETTA SA IND COM;CANCELADA;4839;TEXTIL E VESTUÁRIO
COREVA SA PRO AGRI PEC IND COM;COREVA SA PRO AGRI PEC IND COM;CANCELADA;4847;PETROQUíMICOS E BORRACHA
CORREA RIBEIRO SA COM IND;CORREA RIBEIRO SA COM IND;ATIVO;4863;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
COSAN ALIMENTOS S.A.;COSAN ALIMENTOS S.A.;CANCELADA;20923;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
COSAN LOGÍSTICA S.A.;COSAN LOGÍSTICA S.A.;ATIVO;23485;SERVIçOS TRANSPORTE E LOGíSTICA
COSAN S.A.;COSAN S.A.;ATIVO;19836;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
COSTA PINTO S.A.;COSTA PINTO S.A.;CANCELADA;12220;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
COTONIFICIO BELTRAMO SA;COTONIFICIO BELTRAMO SA;CANCELADA;4871;TEXTIL E VESTUÁRIO
COTONOFICIO JOSE RUFINO SA;COTONOFICIO JOSE RUFINO SA;CANCELADA;4901;TEXTIL E VESTUÁRIO
CP CIMENTO E PARTICIPAÇÕES  S/A;CP CIMENTO E PARTICIPAÇÕES  S/A;CANCELADA;19216;EMP. ADM. PART. - EXTRAçãO MINERAL
CPFL ENERGIA SA;CPFL ENERGIA SA;ATIVO;18660;EMP. ADM. PART. - ENERGIA ELéTRICA
CPFL ENERGIAS RENOVÁVEIS S.A.;CPFL ENERGIAS RENOVÁVEIS S.A.;ATIVO;20540;EMP. ADM. PART. - ENERGIA ELéTRICA
CPFL GERAÇÃO DE ENERGIA S/A;CPFL GERAÇÃO DE ENERGIA S/A;ATIVO;18953;ENERGIA ELÉTRICA
CPFL JAGUARIÚNA S.A.;CPFL JAGUARIÚNA S.A.;CANCELADA;20281;ENERGIA ELÉTRICA
CPM BRAXIS S/A;CPM BRAXIS S/A;CANCELADA;20290;COMUNICAÇÃO E INFORMÁTICA
CR2 CIA SECURITIZADORA DE CREDITOS IMOBILIÁRIOS;CR2 CIA SECURITIZADORA DE CREDITOS IMOBILIÁRIOS;CANCELADA;19666;SECURITIZAÇÃO DE RECEBÍVEIS
CR2 EMPREENDIMENTOS IMOBILIÁRIOS S/A;CR2 EMPREENDIMENTOS IMOBILIÁRIOS S/A;ATIVO;20630;CONSTRUçãO CIVIL, MAT. CONSTR. E DECORAçãO
CREDICARD SA ADMN CARTOES CRED;CREDICARD SA ADMN CARTOES CRED;CANCELADA;4936;SERVICOS DIVERSOS
CREDIT COMML FRANCE SA AR MERC;CREDIT COMML FRANCE SA AR MERC;CANCELADA;11665;ARRENDAMENTO MERCANTIL
CREMER SA;CREMER SA;CANCELADA;4960;TEXTIL E VESTUÁRIO
CREMER SA;CREMER SA;CANCELADA;20141;TEXTIL E VESTUÁRIO
CRESAL EXP SA IND E COMERCIO;CRESAL EXP SA IND E COMERCIO;CANCELADA;12955;COMÉRCIO EXTERIOR
CRUZEIRO DO SUL SA SERV AEREOS;CRUZEIRO DO SUL SA SERV AEREOS;CANCELADA;4995;SERVIçOS TRANSPORTE E LOGíSTICA
CSA-COMPANHIA SECURITIZADORA DE ATIVOS;CSA-COMPANHIA SECURITIZADORA DE ATIVOS;ATIVO;19470;SECURITIZAÇÃO DE RECEBÍVEIS
CSM CARTOES DE SEGURANCA SA;CSM CARTOES DE SEGURANCA SA;CANCELADA;16020;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
CSU CARDSYSTEM S/A;CSU CARDSYSTEM S/A;ATIVO;20044;EMP. ADM. PART. - SEM SETOR PRINCIPAL
CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;ATIVO;23981;AGRICULTURA (AÇUCAR, ALCOOL E CANA)
CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA;CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA;ATIVO;18376;ENERGIA ELÉTRICA
CTMR CELULAR SA;CTMR CELULAR SA;CANCELADA;17086;TELECOMUNICAÇÕES
CTN AGROINDUSTRIA E PARTICIPAÇÕES S/A;CTN AGROINDUSTRIA E PARTICIPAÇÕES S/A;CANCELADA;16799;TEXTIL E VESTUÁRIO
CTX PARTICIPAÇÕES S/A - EM LIQUIDAÇÃO;CTX PARTICIPAÇÕES S/A - EM LIQUIDAÇÃO;CANCELADA;21652;EMP. ADM. PART. - TELECOMUNICAçõES
CURT SA;CURT SA;CANCELADA;12076;MáQUINAS, EQUIPAMENTOS, VEíCULOS E PEçAS
CURTUME INDL NE B SA CURTINBRA;CURTUME INDL NE B SA CURTINBRA;CANCELADA;5002;TEXTIL E VESTUÁRIO
CURTUMES DO NORDESTE SA;CURTUMES DO NORDESTE SA;CANCELADA;5010;TEXTIL E VESTUÁRIO
